WD21CD,WD22CD,distance
E05000965,E05000965,0.0
E05000966,E05000966,0.0
E05000967,E05000967,9.999999996068709e-06
E05000968,E05000968,0.0
E05000969,E05000969,0.0
E05000970,E05000970,0.0
E05000971,E05000971,0.0
E05000972,E05000972,0.0
E05000973,E05000973,0.0
E05000974,E05000974,0.0
E05000975,E05000975,0.0
E05000976,E05000976,0.0
E05000977,E05000977,0.0
E05000978,E05000978,0.0
E05000979,E05000979,0.0
E05000980,E05000980,1.999999999990898e-05
E05000981,E05000981,0.0
E05000982,E05000982,0.0
E05000983,E05000983,0.0
E05000984,E05000984,1.0000000003174137e-05
E05000985,E05000985,0.0
E05000986,E05000986,0.0
E05000987,E05000987,0.0
E05000988,E05000988,0.0
E05000989,E05000989,0.0
E05000990,E05000990,0.0
E05000991,E05000991,0.0
E05000992,E05000992,0.0
E05000993,E05000993,0.0
E05000994,E05000994,0.0
E05000995,E05000995,0.0
E05000996,E05000996,0.0
E05001067,E05001067,0.0
E05001068,E05001068,0.0
E05001069,E05001069,0.0
E05001071,E05001071,0.0
E05001072,E05001072,2.999999999997449e-05
E05001073,E05001073,0.0
E05001074,E05001074,0.0
E05001075,E05001075,0.0
E05001076,E05001076,0.0
E05001077,E05001077,0.0
E05001078,E05001078,0.0
E05001079,E05001079,0.0
